dlga_start:member_talk|¿Sí?
dlga_lord_give_oath_2:lord_give_oath_3|Good. Then repeat the words of the oath with me: I swear homage to you as lawful ruler of the {s41}.
dlga_lord_give_oath_3:lord_give_oath_4|I pledge homage to you as lawful ruler of the {s41}.
dlga_lord_give_oath_3:lord_give_oath_give_up|Excuse me, {reg65?my lady:sir}. But I feel I need to think about this.
dlga_lord_give_oath_4:lord_give_oath_5|I will remain as your loyal and devoted {man/follower} as long as my breath remains....
dlga_lord_give_oath_5:lord_give_oath_6|I will remain as your loyal and devoted {man/follower} as long as my breath remains...
dlga_lord_give_oath_5:lord_give_oath_give_up|{reg65?My lady:Sir}, may I ask for some time to think about this?
dlga_lord_give_oath_6:lord_give_oath_7|...and I will be at your side to fight your enemies should you need my sword.
dlga_lord_give_oath_7:lord_give_oath_8|...and I will be at your side to fight your enemies should you need my sword.
dlga_lord_give_oath_7:lord_give_oath_give_up|{reg65?My lady:My lord}, please give me more time to think about this.
dlga_lord_give_oath_8:lord_give_oath_9|Finally, I will uphold your lawful claims and those of your legitimate heirs.
dlga_lord_give_oath_9:lord_give_oath_10|Finally, I will uphold your lawful claims and those of your legitimate heirs.
dlga_lord_give_oath_9:lord_give_oath_give_up|{reg65?My lady:Sir}, I must have more time to consider this.
dlga_lord_give_oath_10:lord_give_oath_go_on_2|Very well. You have given me your solemn oath, {playername}. May you uphold it always, with proper courage and devotion.
dlga_lord_give_oath_go_on_2:lord_give_oath_go_on_3|Let it be known that from this day forward, you are my sworn {man/follower} and vassal. I give you my protection and grant you the right to bear arms in my name, and I pledge that I shall not deprive you of your life, liberty or properties except by the lawful judgment of your peers or by the law and custom of the land.{reg1? Furthermore I give you the fief of {s1} with all its rents and revenues.:}
dlga_lord_give_oath_go_on_3:lord_give_conclude|You have done a wise thing, {playername}. Serve me well and I promise, you will rise high.
dlga_lord_give_conclude:lord_give_conclude_2|I thank you, {reg39?my lady:lord}.
dlga_lord_give_conclude_2:close_window.1|I have great hopes for you {playername}. I know you shall prove yourself worthy of the trust I have placed in you.
dlga_lord_ask_enter_service:lord_enter_service_swear|Heh, a wise move, {playername}. With loyal service, a {man/woman} in my service could become wealthy and powerful, and our enemies... Well, our enemies are as wheat before a scythe. However, to enter my service you must first renounce all worldly oaths and bonds, and swear to serve only the {s5}.
dlga_lord_enter_service_swear:lord_enter_service_swear_accepted|I do so swear, {s65}.
dlga_lord_enter_service_swear:lord_enter_service_swear_denied|I need some time to think about this.
dlga_lord_enter_service_swear_denied:close_window|Are you having me on? I've no time for games, {playername}. Make up your mind and stop wasting my time.
dlga_lord_enter_service_swear_accepted:lord_enter_service_swear_accepted_2|Then it is my pleasure to welcome you to the service of my house. From this day on, {playername}, you are a soldier of the {s5} with all the duties and privileges that come with it.
dlga_lord_enter_service_swear_accepted_2:close_window|I charge you with rooting out and destroying the forces of our enemies wherever you may find them. Moreover, I will have special tasks for you from time to time, as may some of my other vassal lords. Serve, fight, and honour your oaths. These things will take you far, if you've a mind for promotion. May God grant us long lives and many victories to toast in my hall!
dlga_lord_ask_leave_service:lord_ask_leave_service_verify|Hrm. Has your oath become burdensome, {playername}? It is unusual to request release from homage, but in respect of your fine service, I will not hold you if you truly wish to end it. Though you would be sorely missed.
dlga_lord_ask_leave_service:lord_ask_leave_service_verify.1|Release from homage? Hmm, perhaps it would be for the best... However, {playername}, you must be sure that release is what you desire. This is not a thing done lightly.
dlga_lord_ask_leave_service_verify:lord_ask_leave_service_2|It is something I must do, {s65}.
dlga_lord_ask_leave_service_verify:lord_ask_leave_service_giveup|You are right, {s65}. My place is here.
dlga_lord_ask_leave_service_giveup:lord_pretalk|I am pleased to hear it, {playername}. I hope you'll banish such unworthy thoughts from your mind from now on.
dlga_lord_ask_leave_service_2:lord_ask_leave_service_verify_again|Then you are sure?
dlga_lord_ask_leave_service_verify_again:lord_ask_leave_service_3|Yes, {s65}.
dlga_lord_ask_leave_service_verify_again:lord_ask_leave_service_giveup|Of course not, {s65}. I am ever your loyal vassal.
dlga_lord_ask_leave_service_3:lord_ask_leave_service_end|As you wish. I hereby declare your oaths to be null and void. You will no longer hold land or titles in my name, and you are released from your duties to my house. You are free, {playername}.
dlga_lord_ask_leave_service_end:lord_ask_leave_service_end_2|Thank you, sir. It was an honour to serve you..
dlga_lord_ask_leave_service_end:lord_ask_leave_service_end_2.1|My thanks. It feels good to be {a free man/free} once again.
dlga_lord_ask_leave_service_end_2:close_window|Farewell then, {playername}, and good luck go with you.
dlga_lord_active_mission_1:lord_lend_companion_end|Oh, you want your companion back? I see...
dlga_lord_active_mission_1:lord_pretalk|{playername}, I must beg your patience, I still have need of your companion. Please return later when things have settled.
dlga_lord_active_mission_1:lord_active_mission_2|Yes, have you made any progress on it?
dlga_lord_active_mission_2:lord_generic_mission_thank|Indeed. I brought you {reg1} {s1} as prisoners.
dlga_lord_active_mission_2:capture_enemy_hero_thank|Oh, indeed. I've captured a lord from {s13} for you.
dlga_capture_enemy_hero_thank:capture_enemy_hero_thank_2|Many thanks, my friend. They will serve very well for a bargain. You've done a fine work here. Please accept these {reg5} credits for your help.
dlga_capture_enemy_hero_thank_2:lord_pretalk|Certainly, {s65}.
dlga_capture_enemy_hero_thank_2:lord_pretalk.1|It was nothing.
dlga_capture_enemy_hero_thank_2:lord_pretalk.2|Give me more of a challenge next time.
dlga_lord_active_mission_2:lord_raise_troops_thank|Indeed. I have raised {reg1} {s13}. You can take them.
dlga_lord_raise_troops_thank:lord_raise_troops_thank_2|These men may well turn the tide in my plans, {playername}. I am confident you've trained them well. My thanks and my compliments to you.
dlga_lord_raise_troops_thank_2:lord_pretalk|Well, the lads are at your command now, sir. I am sure you will take good care of them.
dlga_lord_active_mission_2:lord_collect_taxes_success|Here are all the taxes from {s3}. It comes up to {reg19} credits.
dlga_lord_active_mission_2:lord_collect_taxes_half_success|Here are the taxes from {s3}. It comes up to {reg19} credits.
dlga_lord_active_mission_2:lord_collect_taxes_fail|Unfortunately, a revolt broke up while I was collecting the taxes. I could only collect {reg19} credits.
dlga_lord_collect_taxes_success:lord_pretalk|Well done, {playername}, very well done indeed! You were truly the right {man/person} for the job. I promised you a fifth of the taxes, so that amounts to {reg21} credits. If you give me {reg20} credits, you may keep the difference. A good result for everyone, eh?
dlga_lord_collect_taxes_half_success:lord_pretalk|What?! Is this some scheme of yours, {playername}? That's less than half the taxes I'm owed! You have let them get away with murder as well as my money. What a farce! You can forget the money I promised you, I'm taking {reg20} credits from what you collected, and you're lucky I'm leaving you a few coins for honour's sake.
dlga_lord_collect_taxes_fail:lord_pretalk|God, what a bloody mess you've gotten us into, {playername}.This could turn very ugly if I do not take immediate action.I certainly hope you're not here expecting to be paid for failure.Hand over my {reg19} credits, if you please, and end our business together.
dlga_lord_active_mission_2:lord_hunt_down_fugitive_success|I found {s4} hiding at {s3} and gave them their punishment.
dlga_lord_active_mission_2:lord_hunt_down_fugitive_fail|I'm afraid he got away.
dlga_lord_hunt_down_fugitive_success:lord_hunt_down_fugitive_success_2|And we'll all be a lot better off without them! Thank you, {playername}, for removing this long-festering thorn from my side. 'Tis good to know you can be trusted to handle things with an appropriate level of tactfulness. A bounty I promised, and a bounty you shall have. 300 credits!
dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_accept|Let me take the money, {s65}. Thank you.
dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_reject|This is blood money. I can't accept it.
dlga_lord_hunt_down_fugitive_reward_accept:lord_pretalk|Of course, {playername}. Here you are. Once again, you've my thanks for ridding me of that {s44}.
dlga_lord_hunt_down_fugitive_reward_reject:lord_pretalk|You are a {man/woman} for whom justice is its own reward, eh? As you wish it, {playername}, as you wish it. An honourable sentiment, to be true. Regardless, you've my thanks for ridding me of that {s44}.
dlga_lord_hunt_down_fugitive_fail:lord_pretalk|It is a sad day when that {s44} manages to avoid the hand of justice yet again. I thought you would be able to do this, {playername}. Clearly I was wrong.
dlga_lord_active_mission_2:lord_active_mission_3|I am still working on it.
dlga_lord_active_mission_2:lord_mission_failed|I am afraid I won't be able to do this quest.
dlga_lord_active_mission_3:lord_pretalk|Good. Remember, I am counting on you.
dlga_lord_mission_failed:lord_pretalk|{s43}
dlga_lord_suggest_action_ask:lord_suggest_action|What do you suggest?
dlga_lord_suggest_action:lord_suggest_join_faction|I want to join your faction.
dlga_lord_suggest_join_faction:lord_give_oath_5|Alright then.
dlga_lord_suggest_action:lord_suggest_learn_party_id|Cheat:I want to know your leaded party ID.
dlga_lord_suggest_learn_party_id:lord_pretalk|It is {reg0}.
dlga_lord_suggest_action:lord_suggest_learn_wealth|Cheat:I want to know how much wealth you have.
dlga_lord_suggest_learn_wealth:lord_pretalk|It is {reg0}.
dlga_lord_suggest_action:lord_suggest_become_marshall|I want to be your kingdom's marshall.
dlga_lord_suggest_become_marshall:lord_pretalk|Alright then.
dlga_lord_suggest_action:lord_suggest_attack_enemy_castle|Let us attack an enemy planet.
dlga_lord_suggest_action:lord_suggest_go_to_friendly_town|Let us return back to a friendly planet.
dlga_lord_suggest_action:lord_suggest_attack_enemy_party|Let us attack an enemy war party.
dlga_lord_suggest_action:lord_suggest_lift_siege|Let us lift this siege.
dlga_lord_suggest_action:lord_suggest_follow_me|Follow me.
dlga_lord_suggest_action:lord_suggest_follow_other|Follow someone.
dlga_lord_suggest_action:lord_suggest_raid_village|Raid a planet.
dlga_lord_suggest_action:lord_pretalk|Like me.
dlga_lord_suggest_lift_siege:close_window|As you wish, {playername}.
dlga_lord_suggest_go_to_friendly_town:lord_suggest_go_to_friendly_town2|Hmm. Which planet do you suggest we go to?
dlga_lord_suggest_go_to_friendly_town2:lord_suggest_go_to_friendly_town3|{s1}
dlga_lord_suggest_go_to_friendly_town2:lord_pretalk|Never mind.
dlga_lord_suggest_go_to_friendly_town3:lord_pretalk|Very well, we go to {s1}.
dlga_lord_suggest_attack_enemy_party:lord_suggest_attack_enemy_party2|Hmm. Which party do you suggest we attack?
dlga_lord_suggest_attack_enemy_party2:lord_suggest_attack_enemy_party3|{s1} of {s2} around {s3}
dlga_lord_suggest_attack_enemy_party2:lord_pretalk|Never mind.
dlga_lord_suggest_attack_enemy_party3:lord_pretalk|As you wish, we will attack {s1}.
dlga_lord_suggest_attack_enemy_castle:lord_suggets_attack_enemy_castle2|Hmm. Which one do you suggest we attack?
dlga_lord_suggets_attack_enemy_castle2:lord_suggets_attack_enemy_castle3|{s1} of {s2}
dlga_lord_suggets_attack_enemy_castle2:lord_pretalk|Never mind my lord.
dlga_lord_suggets_attack_enemy_castle3:lord_pretalk|That should be possible. Very well, we'll attack {s1}.
dlga_lord_suggest_raid_village:lord_suggest_raid_village_2|Hmm. Which planet do you suggest we attack?
dlga_lord_suggest_raid_village_2:lord_suggest_raid_village_3|{s1} of {s2}
dlga_lord_suggest_raid_village_2:lord_pretalk|Never mind.
dlga_lord_suggest_raid_village_3:lord_pretalk|That should be possible. Very well, we'll attack {s1}.
